index, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB]
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 4
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 4
0, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 1634
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 4
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 4
0, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 2217
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 604
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 638
0, NVIDIA RTX 5000 Ada Generation, 8, 0, 32760, 3335
1, NVIDIA RTX 5000 Ada Generation, 8, 0, 32760, 1038
2, NVIDIA RTX 5000 Ada Generation, 8, 0, 32760, 1070
0, NVIDIA RTX 5000 Ada Generation, 95, 76, 32760, 3545
1, NVIDIA RTX 5000 Ada Generation, 10, 0, 32760, 1380
2, NVIDIA RTX 5000 Ada Generation, 7, 0, 32760, 1380
0, NVIDIA RTX 5000 Ada Generation, 97, 76, 32760, 3777
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 1380
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 1380
0, NVIDIA RTX 5000 Ada Generation, 97, 77, 32760, 3883
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 1446
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 1446
0, NVIDIA RTX 5000 Ada Generation, 95, 76, 32760, 3883
1, NVIDIA RTX 5000 Ada Generation, 15, 3, 32760, 1446
2, NVIDIA RTX 5000 Ada Generation, 14, 3, 32760, 1448
0, NVIDIA RTX 5000 Ada Generation, 89, 72, 32760, 3883
1, NVIDIA RTX 5000 Ada Generation, 14, 3, 32760, 1446
2, NVIDIA RTX 5000 Ada Generation, 10, 2, 32760, 1450
0, NVIDIA RTX 5000 Ada Generation, 96, 77, 32760, 3883
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 1446
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 1450
0, NVIDIA RTX 5000 Ada Generation, 97, 77, 32760, 3883
1, NVIDIA RTX 5000 Ada Generation, 13, 2, 32760, 1446
2, NVIDIA RTX 5000 Ada Generation, 10, 2, 32760, 1450
0, NVIDIA RTX 5000 Ada Generation, 92, 75, 32760, 3883
1, NVIDIA RTX 5000 Ada Generation, 10, 2, 32760, 1448
2, NVIDIA RTX 5000 Ada Generation, 15, 3, 32760, 1450
0, NVIDIA RTX 5000 Ada Generation, 97, 79, 32760, 3883
